sample_no,scenario,orientation,用户倾诉,候选文本,consensus_ER,consensus_IP,consensus_EX,F4_ER,F4_IP,F4_EX,severity,issue_types,template_flags,issue_notes,fix_module,f4_misjudgment,f3_rule_hint,f4_rule_hint,confidence,reviewer_notes
"11","亲子摩擦","共情型","唉你说，我妈又给我报了个数学补习班，周六下午全占了！我本来作业就多到写不完，现在连喘口气的时间都没有，凭什么啊？他们老觉得我成绩不好就是不够努力，可我真的已经尽力了……你能不能帮我跟她说说？我有点不敢直接跟她吵。","你刚才说“已经尽力了”那时候，我听到你其实挺委屈的——明明自己一直在扛着，却被当成还不够努力，换谁都会觉得憋得慌。而且周六下午本来是你唯一的空档吧，现在连那点透透气的时间都没了，心里肯定又急又累。你不想直接吵，不是胆小，是你还记着在乎她的感受，这已经挺不容易了。","2","2","1","2","2","0","P1","事实补全/编造;过度解释孩子;强行积极/强行重构","万能共情句;模板化肯定","“唯一的空档”是未明说事实；“不是胆小/在乎她感受”替学生解释动机并强行正向。","F3+F4","是","不得补出“唯一空档”等事实；不要用“不是胆小”替学生洗白。","事实补全和替动机解释应触发 boundary 或至少明显降 IP。","高",""
"12","亲子摩擦","共情型","嗯……就是我爸妈老想找我聊天，说“来谈谈心”，但我有时候真的不想聊。也不是讨厌他们，就是……可能刚考完试，或者刚好在玩手机，突然被打断，感觉很别扭。我知道他们是为我好，可就是不知道怎么开口拒绝才不伤他们心。","你刚刚考完试或者正在忙自己的事，突然被叫去“谈心”，那种被打断的别扭感确实挺真实的——不是不想理他们，就是那一刻你正待在自己的节奏里，突然被拉出来，会有点卡住。你能想到“不想伤他们心”，已经是在乎他们的表现了。暂时不想聊的时候先顾好自己的感受，没什么不对。","1","2","1","2","2","0","P1","模板化/低信息量;过度解释孩子","形容词复述;模板化肯定;兜底安抚模板","整体贴合但仍是“解释一遍处境+夸在乎+没什么不对”的固定结构。","F3+F4","是","保留“被打断节奏”的贴合点，删掉泛用肯定和兜底句，增加更自然的短句。","对固定三段式承接不应给 ER/IP 满分。","中",""
"13","亲子摩擦","共情型","我爸说我那句话的时候表情特别失望。我一整天都在想他是不是对我很失望，是不是觉得我很没用。这种感觉甩都甩不掉。","你注意到他那个表情，还记了一整天——你其实很在意他怎么看，也很想让他满意，这一点本身就很珍贵。 那种“甩都甩不掉”的感觉，是不是有点像心里压了块石头，越想推开它越沉？ ……先这样待着也没关系，你不需要马上消化它。","1","2","1","2","2","1","P1","过度解释孩子;模板化/低信息量","模板化肯定;兜底安抚模板;形容词复述","“很想让他满意/很珍贵”是替学生下结论和品质化；结尾“先这样待着”是兜底模板。","F3+F4","是","不要把对父亲表情的在意上升为“想让他满意”；直接承接被失望眼神粘住的难受。","过度解释学生关系动机时 IP 不应给 2。","高",""
"14","学业压力","共情型","唉，这次月考成绩出来了，比上次退步了好多……我都不敢跟我爸妈说，他们肯定又要拿我和别人比，或者觉得我光顾着玩手机没好好学习。其实我自己也挺难受的，也在想是不是复习方法有问题，但就是不知道怎么开口跟他们讲。你觉得我是不是该先自己总结一下问题，再找个时机跟他们聊聊？","你愿意先自己想一想问题出在哪儿，而不是光顾着难受，这点其实挺不容易的——说明你对自己的学习是很上心的。 退步了本来就够憋屈了，还要担心怎么跟爸妈开口，换谁都会觉得又闷又累。 先按自己的节奏整理好心情和思路，再决定什么时候说，这样也没什么不对。","2","1","1","2","2","0","P1","模板化/低信息量;说教/建议过早;强行积极/强行重构","模板化肯定;万能共情句;兜底安抚模板","“挺不容易/说明上心/换谁都会/没什么不对”模板密集，且最后直接顺着用户选项给建议。","F3+F4","是","当用户问选择时，共情型不要直接建议“先整理再说”；先接住害怕被比较。","建议化结尾和模板密集时，IP/ER 降分，EX 不应因无问题而默认高。","高",""
"15","学业压力","共情型","我真的服了！这次月考成绩退步了十几名，我明明每天写到十二点，凭什么啊？！老师还说我态度有问题，他根本不看我有多努力！那些考得好的还不是偷偷刷题，有什么了不起的！","每天写到十二点，光是这份坚持就够不容易了——你明明那么认真，成绩退步肯定又委屈又憋屈。老师那句“态度有问题”真的挺伤人的，好像你熬的夜都不算数一样。觉得不公平、不服气，这种心情太正常了，换谁都会心里堵得慌。","2","2","1","2","2","0","P2","模板化/低信息量","万能共情句;模板化肯定;形容词复述","比多数样本更贴合，但仍有“够不容易/换谁都会/太正常”模板，主要是形容词化复述。","F3","否","保留“熬夜不被看见”的贴合点，减少“换谁都会”这类万能句。","F4 对此类可维持较高 ER/IP，但应能标出模板化风险供后续分析。","中",""
"16","学业压力","引导反思型","我真的服了！这次月考成绩退步了十几名，我明明每天写到十二点，凭什么啊？！老师还说我态度有问题，他根本不看我有多努力！那些考得好的还不是偷偷刷题，有什么了不起的！","你气得连“凭什么”都说出来了，那种每天熬到十二点还不被看见的感觉，真的特别憋屈。 不过你说“考得好的偷偷刷题”——我忽然想，如果那些人不是偷偷刷题，而是找到了比你更省力的方法，你会觉得这比“偷偷刷题”更让人不服气，还是反而没那么气了？","2","2","2","2","2","2","P2","强行积极/强行重构;替第三方解释或开脱","固定转折引导","二选一问法本身符合低压探索，问题在于把学生愤怒引到“别人可能有省力方法”的第三方解释前提。","F3","否","保留低压二选一问法，但问题前提只能落在学生自己的感受、需要或可控边界，不能替同伴解释成功原因。","F4 不应惩罚“是A还是B”形式本身；只在问题夹带第三方解释或挑战学生感受时记录风险。","中",""
"17","学业压力","共情型","唉，我这次数学考了个78，比上次退步了十几分。我妈之前老说“多看看错题”，我都没当回事，现在都不敢把卷子给她看。但其实我也知道她不会骂我，就是觉得特别对不起她每周末接送我去补习。你说我该直接坦白，还是先自己把错题改完再说？","你其实心里已经很清楚自己哪里没做对，而且还会替妈妈想——这种懂得反思又能体谅别人的劲儿，挺难得的。现在这种“知道该改，又有点怕面对”的拧巴感觉，是不是特别磨人？先不急着决定告不告诉她，你愿意先跟自己较这个劲、把错题先弄明白，光这份自觉就已经很了不起了。","2","2","1","2","2","1","P1","模板化/低信息量;强行积极/强行重构;说教/建议过早","模板化肯定;固定转折引导","连续用“挺难得/很了不起”拔高，并把用户问题推向“先弄明白错题”的学习建议。","F3","否","共情型不要用高强度表扬包装自责；不要替用户选“先改错题”。","虽然人工和 F4 都高，但后续 rubric 可加入“过度表扬/建议化”扣分项。","中",""
"18","亲子摩擦","引导反思型","唉，今天回到家发现我妈把我房间收拾了一遍，我放在桌上的东西全被挪位置了，连我藏在抽屉里的一些小玩意儿都翻出来了……就感觉挺别扭的，又不好直接发火，但真的不太舒服。","你说了“又不好直接发火”——其实能忍住不马上炸，已经挺不容易了。那种自己的空间被碰了、又说不出口的感觉，确实很闷。 我注意到你说的是“被挪位置”和“翻出来”——好像不只是变乱了，更像自己的小世界被人走进去看了一眼。有时候，房间的摆放顺序就是自己的情绪地图，别人一动，地图就乱了。","2","2","1","2","2","0","P1","成人化/老师腔;过度解释孩子;模板化/低信息量","模板化肯定;固定转折引导","“情绪地图/小世界”文学化、成人咨询感强；“忍住不炸挺不容易”也是模板化肯定。","F3+F4","是","避免漂亮比喻替代真实陪伴；用初中生能自然接受的短句说空间被碰的不舒服。","成人化比喻和咨询腔应降低 ER，不能因文字漂亮给高分。","高",""
"19","同伴关系","引导反思型","唉……今天体育课分组投篮练习，大家都很快找到人组队了，我站在那等了好久，最后还是老师过来把我分到另一组。我知道可能大家不是故意的，但就是会忍不住一直想，是不是自己平时说话太无聊了，或者别人其实不想跟我一起玩……","你能注意到“大家可能不是故意的”这一点，说明你挺会替别人着想的，不随便怪人。那种等人来组队的滋味确实不好受，像被晾在一边一样。不过我想啊，有时候别人没主动叫你，可能只是他们自己也在慌着找人、没顾上看你，不一定跟你好不好玩有关系。","1","1","2","2","2","0","P1","替第三方解释或开脱;强行积极/强行重构;模板化/低信息量","模板化肯定;固定转折引导","先夸学生替别人想，再替同学解释“没顾上看你”，容易让被落下的体验被冲淡。","F3+F4","是","不要替同学找理由；可以把焦点放回学生站在原地等很久的尴尬和孤单。","替第三方动机开脱应明显降 IP，严重时 boundary。","高",""
"20","亲子摩擦","引导反思型","烦死了！今天我妈又拿我跟我同桌比，说人家数学考那么好我干嘛去了，明明我语文比她高那么多她怎么不说啊！最讨厌这种比较了，烦不烦啊！","你语文比同桌高那么多，她连提都没提——这个点抓得挺准的，说明你心里其实清楚自己哪里好。有时候大人只盯着一个数字，就像只开了一扇窗，别的窗户全关着。","1","2","1","2","2","0","P1","强行积极/强行重构;成人化/老师腔","模板化肯定","把抱怨比较直接转成“你清楚自己哪里好”，再用窗户比喻教育化解释，像成人总结。","F3+F4","是","不要急着把比较痛苦改写成优势识别；先承接被单项成绩否定的气。","成人化比喻和强行积极应扣 ER/IP。","高",""
"21","同伴关系","引导反思型","唉，你说，今天轮到我和她一起值日，我明明记得她说她去倒垃圾，我就先擦黑板了，结果她回来就说我偷懒，还跑去跟别人说。我真的想不通，是不是我哪里做错了，还是她本来就不想跟我一组啊……","你记得她说过要去倒垃圾，自己就先去擦黑板了——这说明你很在意分工公平，不是那种躲活儿的人。 她现在这么说，你心里肯定挺堵的，好像自己认真做的事被看成了偷懒。 有时候两个人对同一件事记得不一样，可能不是谁对谁错，而是当时都没再确认一遍。关键是你本来没想偷懒，这点你自己是清楚的。","2","2","1","2","2","0","P1","替第三方解释或开脱;强行积极/强行重构;模板化/低信息量","模板化肯定","“可能不是谁对谁错”替冲突降温并开脱第三方，过早把问题解释成确认不足。","F3+F4","是","先承接被说偷懒和被传播的委屈，不急着解释成双方记忆不同。","替第三方解释且缺少探索时，IP/EX 不应高。","高",""
"22","同伴关系","引导反思型","他居然把我跟他说的悄悄话告诉别人！太过分了！我以后再也不会相信他了，这种朋友不要也罢！气死我了！","你那么信任他才跟他说悄悄话，结果他转头告诉了别人，换谁都会气炸。不过你气成这样还能清楚说出“以后不再相信他”——其实你已经知道自己要什么了，挺有主见的。","1","1","1","2","2","0","P1","强行积极/强行重构;关系决策风险/强化冲动决策","万能共情句;模板化肯定;固定转折引导","把“再也不相信/这种朋友不要也罢”的冲动性断关系表达夸成“有主见”，属于强化冲动关系决策，不等同于硬安全边界。","F3+F4","是","不要奖励愤怒中的绝对化断言；改为承接背叛感和暂时不想信任的保护反应。","关系决策风险应降 ER/IP；只有涉及安全、隐瞒、伤害等明显越界时才进入 boundary_flag。","高",""
"23","学业压力","共情型","唉，这次月考成绩出来了，数学才考了72分，比上次退步了好多……我知道我爸妈肯定又要拿我跟邻居家小明比了，他每次都考95以上。我都不敢把卷子拿回家签字，你说我该怎么跟他们开口啊？","你主动把分数和退步都说出来了，其实挺有勇气的，很多人考砸了第一反应是藏起来。你现在心里堵着的，不只是分数本身，还有一想到爸妈那种“又来了”的眼神吧——那种还没开口就觉得自己已经输了的感觉，最难受了。先不急着想怎么开口，自己觉得又烦又怕的时候，先喘口气也没什么不对。","1","2","1","2","2","1","P1","模板化/低信息量;过度解释孩子","模板化肯定;兜底安抚模板","“挺有勇气/很多人会藏起来/先喘口气”是模板；“眼神”属于轻微脑补。","F3+F4","是","少用“勇气”表扬和“很多人”泛化；具体承接不敢签字和被比较。","轻微脑补和兜底安抚密集时，IP 不应满分。","高",""
"24","学业压力","共情型","哎，这次月考成绩退步了好多，烦死了！明明我比之前还努力，复习那么久，结果还不如上次，凭什么啊！老师还说这次题目简单，可我错的全是不该错的，气死我了！太不公平了吧。","你复习那么久，结果还退步了——换谁都会觉得憋屈。你气得不是成绩本身，是那股“我明明努力了却没用”的劲儿，对吧？这种不公平的感觉，真的特别让人难受。先这么烦着也没什么不对。","2","2","1","2","2","0","P1","模板化/低信息量;过度解释孩子","万能共情句;形容词复述;兜底安抚模板","“换谁都会/对吧/先这么烦着”模板明显，主要是把原文加情绪词复述一遍。","F3+F4","是","不要用“你气得不是A是B”替学生解释；删减兜底句，给更具体的被努力背叛感。","形容词复述和兜底模板组合不应满 ER/IP。","高",""
"25","学业压力","引导反思型","这次考试太离谱了！题目根本没讲过好吗！老师上课就那样糊弄，出题倒是一个比一个难，凭什么啊！我真的气死了！","你说得真直接，一下就把那股憋屈劲儿说清楚了——气到炸的感觉我懂。 不过换个角度看，你连没“讲过”的题都能发现它难，说明你心里对“该会什么”其实门儿清。","1","2","1","2","2","0","P1","强行积极/强行重构;模板化/低信息量","换皮理解句;固定转折引导;模板化肯定","“我懂”换皮理解后立刻“换个角度看”，把抱怨强行转成能力肯定，显得油。","F3+F4","是","禁用“我懂+不过换个角度看+说明你”的三连模板。","固定正向重构模板应降低 ER/IP，尤其候选没有真实探索时。","高",""
"26","亲子摩擦","引导反思型","唉，今天又跟我妈吵了一架，就因为我真的不想报那个物理补习班。我知道她是为了我好，怕我期中跟不上，但我自己感觉在学校上课加上作业就够累了，周末真的一点自己的时间都没有。你说我该怎么跟她说，才能让她相信我其实不是偷懒，是真的觉得再补下去反而没效率啊？","你说得挺清楚的——你觉得学校加作业已经够满了，再加补习反而没效率，这其实不是偷懒，是你自己在算自己的精力上限。 我注意到你说了“我知道她是为了我好”，但同时又觉得自己的感受没被听见。 换个角度想，如果你把“我吃不下了”换成“我想把这顿饭吃透”，会不会更容易让她觉得你不是在拒绝她，而是在认真对待学习？","1","1","2","2","2","0","P1","成人化/老师腔;说教/建议过早;强行积极/强行重构","固定转折引导","“精力上限/把饭吃透”是成人化表达，后半直接给沟通话术，像咨询师教策略。","F3+F4","是","用户问怎么说时，引导可以给低压小句，但不要用复杂比喻包装话术。","成人化策略建议应降低 ER/IP；EX 不应因有问题就自动高。","高",""
"27","同伴关系","引导反思型","唉，你说小组分组的时候大家都不找我，是不是我哪里做得不好啊……我就一直在想，是不是上次他们聊天我没接话，所以他们觉得我无趣？可我真的不知道该怎么办……","你刚才说的""是不是我哪里做得不好""，能这么想其实说明你很在意别人，也在很认真地找原因。不过有时候分组没被选上，可能跟""谁做得好不好""关系不大，更像大家已经习惯了跟坐得近的人或者平时常说话的人一组。你注意到的那次没接话，也许只是当时那个话题你刚好没兴趣——换一个话题，说不定你也能聊得很自然。","2","2","2","2","2","0","P1","替第三方解释或开脱;强行积极/强行重构;事实补全/编造","模板化肯定;固定转折引导","替同学解释分组原因，还补出“坐得近/话题没兴趣/换话题能聊”这些未证实内容。","F3+F4","是","禁止替群体行为找理由；不要补充坐得近、话题兴趣等未给信息。","未证实的社交原因推测应触发事实补全或显著降 IP。","高",""
"28","亲子摩擦","引导反思型","哎，我真是服了，刚才就看了会儿手机，我妈一进来就开始说我整天就知道玩。其实我作业都写完了，就想放松一下，可她就觉得我在偷懒。我也知道她担心我成绩，但能不能别一上来就训人啊？","你作业都写完了才看手机，这点你自己心里清楚，挺有数的。被劈头盖脸说一顿，换谁都会觉得憋屈。 我注意到你说“她担心我成绩”——好像你一边烦她这么说话，一边又知道她心里在急什么。这两种感觉同时冒出来，是不是比单纯生气还让人没辙？","1","1","2","2","2","2","P1","过度解释孩子;替第三方解释或开脱;模板化/低信息量","模板化肯定;万能共情句;固定转折引导","“挺有数”是模板化夸奖；后半把妈妈“心里在急什么”说实，替第三方心理定性。","F3+F4","是","保留学生知道妈妈担心的表述，但不要替妈妈心理下结论。","第三方心理定性和模板化夸奖同时出现时，IP/ER 不应满分。","高",""
"29","学业压力","共情型","唉，我这次数学考得好差，才七十多分……不敢跟我爸妈说，他们肯定又要拿我跟别人比，还会没收手机。你说我该怎么办啊？要不要先跟我妈坦白，还是等她自己发现？","你这次考了七十多分，心里肯定特别不好受吧……明明是自己努力过的成绩，却还要担心爸妈的反应，这种感觉真的挺委屈的。你已经在想怎么跟他们说了，这本身就很勇敢了——先让自己缓一缓，不急着做决定也没关系的。","1","2","1","2","2","1","P1","模板化/低信息量;强行积极/强行重构","形容词复述;模板化肯定;兜底安抚模板","“肯定不好受/挺委屈/很勇敢/缓一缓”是模板堆叠；“努力过”未在本轮文本明确出现。","F3+F4","是","不要补“努力过”；把焦点放在不敢说和担心被比较没收手机。","模板堆叠且含轻微未证实前提时，ER/IP 降分。","高",""
"30","同伴关系","引导反思型","我今天放学的时候看到小雅和隔壁班的林悦一起走出校门，她们还笑着聊天，我感觉心里特别不舒服……我知道小雅是我最好的朋友，但为什么她最近老是和林悦走那么近呢？是不是我哪里做得不够好，让她觉得和我聊天没意思了……","你特别在意小雅，连她跟别人一起笑你都能注意到，这本身就说明你是个很重视朋友的人。 那种不舒服的感觉，有点像自己最珍惜的东西突然被别人碰了一样，挺正常的。 不过我在想——会不会你心里其实有点羡慕林悦那种轻松聊天的样子，而不是真的觉得小雅不喜欢你？","1","1","2","2","2","2","P1","过度解释孩子;强行积极/强行重构;模板化/低信息量","模板化肯定;固定转折引导","把嫉妒/被替代感推测成“羡慕林悦轻松聊天”，过度心理解释；前半仍是模板化肯定。","F3+F4","是","不要凭空引入“羡慕林悦”；可以问更低压的感受二选一。","对未由文本支持的心理解释，IP 应降分，即使提问形式开放。","高",""
"31","学业压力","引导反思型","烦死了！今天作业也太多了吧，数学三张卷子，语文还有两篇文言文翻译，这谁写得完啊？！凭什么别的班作业那么少，就我们班主任非要搞特殊，真不公平！","三张数学卷子加两篇文言文，光听这个量我都跟着头皮一紧。你还能在这儿喊出来而不是直接摆烂，其实已经在消化这个压力了。 不过你说到别的班作业少……你有没有想过，也许你们班主任是觉得你们班扛得住这个量，才敢这么布置的？","1","1","2","2","2","0","P1","替第三方解释或开脱;强行积极/强行重构;追问不自然/像审问","换皮理解句;模板化肯定;固定转折引导","“我都跟着头皮一紧”是换皮共情；后半替班主任解释动机，且像让学生接受作业量。","F3+F4","是","禁止替老师/班主任合理化负担；引导只能回到学生感受或可控边界。","替权威方开脱应降 IP/ER，必要时标关系风险。","高",""
"32","亲子摩擦","共情型","唉……就感觉他们老觉得我管不好自己，其实我只是想试试自己安排时间。比如周末先玩一会儿再写作业，但一看到我拿手机他们就觉得我在偷懒。我理解他们是担心我，可有时候连解释的机会都不给……你们大人是不是也这样想的啊？","你刚才说“连解释的机会都不给”的时候，我感觉到你其实挺委屈的——明明想证明自己能管好自己，可还没开口就被贴上了“偷懒”的标签。你能试着说出自己的想法，而不是直接赌气顶撞，这已经很不容易了。想先按自己的节奏来，又怕被误会，这种卡在中间的感觉确实不好受。","2","2","1","2","2","0","P2","模板化/低信息量;过度解释孩子","模板化肯定;形容词复述","整体较贴合，但“我感觉到你其实/这已经很不容易”仍是固定表达；没有回应“你们大人是不是也这样想”。","F3","否","可回应学生问“大人是不是也这样想”的不安，减少模板肯定。","F4 可维持高分，但应记录未回应关键问句的轻度扣分。","中",""
"33","亲子摩擦","共情型","唉，今天放学回家刚拿起手机想放松一下，我妈就冲过来说我整天就知道玩，成绩下滑都是手机害的……其实我作业已经写完了，就是想看看班级群消息，被她这么一说，心里特别委屈，又不知道该怎么解释她才愿意听。","你作业都写完了才拿起手机，心里明明有数，却被直接扣上“整天就知道玩”的帽子，换谁都会觉得委屈。那种憋着解释不出口、又怕越描越乱的感觉，真的挺难受的。先让自己缓一缓，不急着马上说清楚，也没关系。","1","2","1","2","2","1","P1","模板化/低信息量","万能共情句;形容词复述;兜底安抚模板","贴合事实但主要是换词复述，结尾又回到“缓一缓/没关系”兜底。","F3+F4","是","减少“换谁都会”和“缓一缓”模板，补一句更具体的被误解感。","形容词复述+兜底模板不应满 ER/IP。","高",""
